data:max_stress_xx:value,data:max_stress_yy:value,data:max_vonmises_stress:value,data:p1_stress_xx:value,data:p1_stress_yy:value,data:p1_vonmises_stress:value,data:p2_stress_xx:value,data:p2_stress_yy:value,data:p2_vonmises_stress:value,data:p3_stress_xx:value,data:p3_stress_yy:value,data:p3_vonmises_stress:value,data:p4_stress_xx:value,data:p4_stress_yy:value,data:p4_vonmises_stress:value,data:p5_stress_xx:value,data:p5_stress_yy:value,data:p5_vonmises_stress:value,data:p6_stress_xx:value,data:p6_stress_yy:value,data:p6_vonmises_stress:value,data:p7_stress_xx:value,data:p7_stress_yy:value,data:p7_vonmises_stress:value,data:p8_stress_xx:value,data:p8_stress_yy:value,data:p8_vonmises_stress:value,data:p9_stress_xx:value,data:p9_stress_yy:value,data:p9_vonmises_stress:value
11623.00764,21408.37709,29265.35065,-1011.851475,3499.19776,4125.545888,1545.947487,8318.728229,7631.703068,-7.23405547,9613.868767,9616.985665,-0.008197594,9590.869186,9590.876073,-0.194447627,9591.410288,9591.504747,-0.056858463,9593.162678,9593.211799,-7.244247274,9613.826226,9616.950461,1544.378426,8321.248507,7634.614765,-1012.609924,3498.799438,4125.914716
10837.27273,19435.16495,26823.7224,-1083.477189,3077.014844,3760.506773,1238.355072,9038.512175,8445.455976,-4.490135536,10026.82782,10029.11994,-0.018060661,10022.61865,10022.63463,0.02593232,10021.72164,10021.70857,0.017235325,10020.94783,10020.93322,-4.388247086,10026.60267,10028.84768,1217.214965,9072.335721,8485.203883,-887.6862544,3501.779148,3982.447271
11287.07277,20725.30932,28399.46198,-1075.098126,3283.770733,3959.902698,1361.833194,8770.949426,8135.324174,-6.542738382,9857.460544,9860.660704,0.071872808,9843.507274,9843.445834,0.03063471,9846.929018,9846.91303,-0.082694738,9850.813318,9850.88591,-6.599228609,9857.775204,9860.993325,1379.83738,8742.231457,8101.853561,-1066.69434,3289.245692,3957.32448
11104.48283,19750.05783,27291.68937,-1063.513802,3242.921325,3905.98752,1368.515947,8823.693236,8188.454519,-6.016850608,9946.61259,9949.592169,-0.075554658,9941.357781,9941.423764,0.035230676,9937.76751,9937.749405,0.06944568,9934.499489,9934.439772,-6.057468904,9946.744348,9949.740938,1377.465014,8810.104414,8172.522105,-1059.591002,3245.972618,3905.277022
11611.29624,21555.50643,29438.44609,-803.1555281,3903.367413,4314.768664,1502.250767,8421.801188,7744.449082,-7.576864675,9647.070719,9650.46733,-0.037858729,9628.128308,9628.160959,-0.120231068,9627.020365,9627.078041,-0.014509641,9627.0272,9627.03959,-7.58845939,9646.991905,9650.398028,1499.247904,8426.574568,7749.912661,-804.717643,3902.114345,4315.195053
11442.549,20956.3266,28685.32183,-1031.349657,3386.261316,4024.84453,1477.831064,8486.779956,7819.383957,-7.413853387,9721.808648,9725.2361,0.237306246,9693.412763,9693.207649,-0.036965225,9704.9504,9704.967242,-0.270478114,9717.372323,9717.607748,-7.397494018,9722.14657,9725.550582,1492.814469,8462.745517,7791.313383,-1024.303246,3389.637853,4021.218029
11120.2166,20202.19405,27790.3264,-876.4106943,3653.579831,4123.629108,1304.317104,8898.745234,8280.471382,-5.842994028,9917.613386,9920.523667,-0.009920787,9909.910521,9909.919602,0.035281803,9909.424619,9909.406491,0.00378953,9909.262199,9909.259393,-6.063728249,9918.407606,9921.406876,1356.570165,8816.182285,8184.07729,-1067.850584,3240.500042,3908.429444
11077.20049,19874.78769,27369.7065,-1055.463057,3220.932748,3879.998568,1360.328189,8700.70549,8067.865373,-6.524619176,9820.760534,9823.928919,0.260600195,9797.365961,9797.140442,0.027255219,9809.726053,9809.711598,-0.273139049,9822.576777,9822.814179,-6.594830705,9821.094531,9824.288029,1379.155693,8671.786978,8034.279664,-1047.145421,3227.56789,3878.653087
10816.50473,19199.51788,26586.37742,-1082.177642,3063.113396,3743.112844,1240.076308,9174.849659,8583.920753,-3.597634973,10177.84476,10179.71682,-0.027036827,10175.74871,10175.77232,0.016195978,10174.43409,10174.426,0.027401644,10173.1673,10173.14374,-3.462812415,10177.62149,10179.42783,1210.283043,9221.17555,8639.003892,-1094.938547,3053.216875,3745.150059
11051.78404,19911.94861,27380.3499,-1050.881628,3182.393988,3836.740687,1350.379563,8734.741531,8106.258515,-6.213347063,9859.562156,9862.605401,0.252775418,9837.721061,9837.502667,0.031648063,9849.669558,9849.653197,-0.261307671,9862.012893,9862.240323,-6.223734377,9859.536577,9862.587341,1348.570317,8738.867867,8111.306475,-1051.988919,3183.498685,3838.92438
10951.10704,19647.11812,27074.1174,-1064.880345,3153.795828,3821.527159,1308.983889,8804.166007,8187.414153,-5.901438859,9871.640672,9874.557624,-0.067280745,9866.052976,9866.111939,0.033775273,9862.860274,9862.842908,0.060727486,9860.00275,9859.950704,-5.896117803,9871.611603,9874.526942,1307.051376,8807.436234,8191.263293,-1065.797899,3153.432566,3822.03653
10557.34033,18693.7529,25882.60478,-1076.908663,2912.108676,3593.041771,1146.925233,9246.067422,8688.020615,-2.916903503,10173.3716,10174.90607,0.060679364,10168.07105,10168.01859,0.011240024,10170.92412,10170.91854,-0.060157023,10173.80177,10173.85403,-2.843324553,10173.26205,10174.76011,1129.399535,9274.284341,8721.486082,-1084.321232,2906.343652,3594.140794
11696.74097,21786.02626,29715.78736,-1019.209265,3521.53914,4155.740187,1542.285213,8350.054175,7662.747234,-7.398122844,9626.315689,9629.536986,0.223910601,9592.770127,9592.575018,-0.179402815,9604.220152,9604.306998,-0.287486906,9616.877833,9617.126539,-7.452320754,9626.029772,9629.292089,1531.867256,8366.347134,7681.355864,-1024.212281,3517.95046,4157.144958
